Commit id,Bugzilla bug id
928b4a7b3d1915240ed9662ca5a5f21e6cfac22d ,278474
0fe431cf30eb7ab09f6cc552d3c15c4d4f21c5be ,359629
f0f3e34ca584dc582bdd0670a737315da71b0321 ,347517
14187a12a8a4ba0b18ff3eb8fd726c3fedf1c4a6 ,387710
dbd66074622e6e6ae3bb01588fe7d5e91418ac05 ,396760
69fc142feb6892ec2ae7c15c3b622c7478d18032 ,392100
8f8a84b050f645df615c00acf1bcaf778026c6d5 ,391841
26ec16e2cb714094d58bf0e0ffd9f6771f3af03c ,375076
5187af40774c91900bebc774c60d11f94cc1188f ,376916
5b95b128644bddd6b485fbb69014aae00dd8d229 ,375208
f1a6babedda184262ccf8214b64943bb768b6c7a ,374843
1421da850c58f744dcc1d5dfd838ea4a2ec999c7 ,373178
09cf426897289e062c07a4bc9472441467cd3797 ,372838
fa6a5fb9967a08f54e5800a1b239c03bfb4850ba ,371010
00b12019b22744a0319be904886e0449ca3a89e5 ,358804
1bf05488095c5e08f24693df9795f17ff529d19c ,369598
e2fd4474dc680d6112fb10776baa1a8cd63ff70a ,364509
fc426f67230e6cee46acec5d6f363a170498ade1 ,368607
7dab95a29c27ee8fed7310499b1788083eb0959c ,367003
2123847ae16ca6d308bffef47cce481bd9449275 ,364632
c94353f4681fe65c488c6e753a3a432acd648ebe ,348049
406e77192a6aac6e9df7f0437f09b8f9475be5ab ,162094
278ebf55185a90a1558ebe1d0cdca38f5ac9a3c0 ,357052
ce263b1b45333fc35f8c49dd91374e8ad096d423 ,358004
6d8a2fc7c721e548710f2b05e6b1ce818efac316 ,357541
433c5b5b0030cb067c336838032527aa09f7b503 ,354984
8a764e5606046f7b33ba2fb68d54fce8dd9682f7 ,354987
ed586bc51e554bc2f88f50645ce914e241cf1279 ,349621
247f0fe8ccc1d0ccd957b1393337e4bb744d7684 ,351472
af85ba92f40ffbda4657d91ba2ef9da3fb38320c ,352255
972b70dede48b9a95748d2140ac538364b67dc19 ,341027
d7bdddd0158c9523d5bfc965c1accc8c0cc6bb73 ,345056
376fdb0529c800d47923c5251aa7a330916125e9 ,349771
eb7d9097f0e64a56b16de58000763fffb9499ca8 ,349771
8daf693784e24c451db5d9f99a14c409f433f0ce ,347032
6c1a34bd36b864268c7e37f06e7c5eb7ca8aa172 ,343688
35fa85a46c0db5fa9e4dc33eebf9fcd5dd3a1c44 ,315184
5e0847972d60c54c151573cf998cfc86f20ea9ca ,237546
293e1f6cf4284f2c5465175460e765826637d1c8 ,347566
468c6d9816b604e4c456011e48336c6a965a60a0 ,346153
